entity_addr,entity_total_trans_fulton_all_yr,pct_entity_total_trans_fulton_all_yr
0 PO BOX 1297 30096,4.0,0.003522584167745458
0 PO BOX 1297 30097,2.0,0.001761292083872729
0 PO BOX 1297 30253,1.0,0.0008806460419363645
0 PO BOX 13 30213,1.0,0.0008806460419363645
0 PO BOX 1300 30301,1.0,0.0008806460419363645
0 PO BOX 1302 29944,1.0,0.0008806460419363645
0 PO BOX 13021 30324,1.0,0.0008806460419363645
0 PO BOX 1305 30030,1.0,0.0008806460419363645
0 PO BOX 1305 30031,5.0,0.004403230209681822
0 PO BOX 13083 30324,1.0,0.0008806460419363645
0 PO BOX 13091 30324,2.0,0.001761292083872729
0 PO BOX 1319 30281,1.0,0.0008806460419363645
0 PO BOX 1326 30126,1.0,0.0008806460419363645
0 PO BOX 13262 30324,1.0,0.0008806460419363645
0 PO BOX 13281 30324,1.0,0.0008806460419363645
0 PO BOX 133054 30333,2.0,0.001761292083872729
0 PO BOX 133197 30333,1.0,0.0008806460419363645
0 PO BOX 1339 30078,1.0,0.0008806460419363645
0 PO BOX 134 30146,1.0,0.0008806460419363645
0 PO BOX 13432 30324,1.0,0.0008806460419363645
0 PO BOX 1352 30058,1.0,0.0008806460419363645
0 PO BOX 1352 30298,3.0,0.0026419381258090935
0 PO BOX 1364 30188,1.0,0.0008806460419363645
0 PO BOX 13684 30324,1.0,0.0008806460419363645
0 PO BOX 14022 30324,1.0,0.0008806460419363645
0 PO BOX 1416 30031,4.0,0.003522584167745458
0 PO BOX 1423 30286,1.0,0.0008806460419363645
0 PO BOX 142466 30214,1.0,0.0008806460419363645
0 PO BOX 142525 30214,1.0,0.0008806460419363645
0 PO BOX 14287 30324,1.0,0.0008806460419363645
0 PO BOX 142997 30214,1.0,0.0008806460419363645
0 PO BOX 143181 30214,1.0,0.0008806460419363645
0 PO BOX 144 30288,2.0,0.001761292083872729
0 PO BOX 1440 30058,2.0,0.001761292083872729
0 PO BOX 1450 30120,1.0,0.0008806460419363645
0 PO BOX 1450 30180,1.0,0.0008806460419363645
0 PO BOX 14525 78761,3.0,0.0026419381258090935
0 PO BOX 14636 30324,1.0,0.0008806460419363645
0 PO BOX 148 29342,2.0,0.001761292083872729
0 PO BOX 1486 30031,2.0,0.001761292083872729
0 PO BOX 14887 30324,1.0,0.0008806460419363645
0 PO BOX 1490 28480,1.0,0.0008806460419363645
0 PO BOX 1495 30031,1.0,0.0008806460419363645
0 PO BOX 1495 30281,1.0,0.0008806460419363645
0 PO BOX 14976 30324,4.0,0.003522584167745458
0 PO BOX 150083 30315,1.0,0.0008806460419363645
0 PO BOX 150205 37215,1.0,0.0008806460419363645
0 PO BOX 150217 30315,1.0,0.0008806460419363645
0 PO BOX 150686 30315,1.0,0.0008806460419363645
0 PO BOX 150814 30315,1.0,0.0008806460419363645
0 PO BOX 15177 30333,1.0,0.0008806460419363645
0 PO BOX 1522 30168,2.0,0.001761292083872729
0 PO BOX 153 68944,1.0,0.0008806460419363645
0 PO BOX 15369 30333,1.0,0.0008806460419363645
0 PO BOX 15470 30333,4.0,0.003522584167745458
0 PO BOX 15547 91605,1.0,0.0008806460419363645
0 PO BOX 15559 30333,1.0,0.0008806460419363645
0 PO BOX 156 30028,1.0,0.0008806460419363645
0 PO BOX 1583 30281,1.0,0.0008806460419363645
0 PO BOX 160042 30316,3.0,0.0026419381258090935
0 PO BOX 160142 30316,1.0,0.0008806460419363645
0 PO BOX 160166 30316,6.0,0.005283876251618187
0 PO BOX 16021 30321,1.0,0.0008806460419363645
0 PO BOX 1603 30048,1.0,0.0008806460419363645
0 PO BOX 160834 78716,2.0,0.001761292083872729
0 PO BOX 160958 59716,1.0,0.0008806460419363645
0 PO BOX 161291 30321,2.0,0.001761292083872729
0 PO BOX 1613 30228,6.0,0.005283876251618187
0 PO BOX 161423 30321,2.0,0.001761292083872729
0 PO BOX 161555 30321,1.0,0.0008806460419363645
0 PO BOX 161717 30321,1.0,0.0008806460419363645
0 PO BOX 16172 30321,1.0,0.0008806460419363645
0 PO BOX 16179 32035,1.0,0.0008806460419363645
0 PO BOX 161922 30321,1.0,0.0008806460419363645
0 PO BOX 162277 30321,1.0,0.0008806460419363645
0 PO BOX 162405 30321,2.0,0.001761292083872729
0 PO BOX 1626 39568,3.0,0.0026419381258090935
0 PO BOX 162643 30321,5.0,0.004403230209681822
0 PO BOX 162735 30321,1.0,0.0008806460419363645
0 PO BOX 1628 30214,2.0,0.001761292083872729
0 PO BOX 162833 30321,1.0,0.0008806460419363645
0 PO BOX 162873 30321,1.0,0.0008806460419363645
0 PO BOX 16334 30321,1.0,0.0008806460419363645
0 PO BOX 1651 30078,2.0,0.001761292083872729
0 PO BOX 1658 30272,1.0,0.0008806460419363645
0 PO BOX 16621 30321,1.0,0.0008806460419363645
0 PO BOX 16642 33318,2.0,0.001761292083872729
0 PO BOX 16825 30311,1.0,0.0008806460419363645
0 PO BOX 16825 30321,4.0,0.003522584167745458
0 PO BOX 169 30028,1.0,0.0008806460419363645
0 PO BOX 16906 31416,1.0,0.0008806460419363645
0 PO BOX 1693 28012,1.0,0.0008806460419363645
0 PO BOX 170146 30317,2.0,0.001761292083872729
0 PO BOX 170322 30317,2.0,0.001761292083872729
0 PO BOX 170331 30317,1.0,0.0008806460419363645
0 PO BOX 170341 30317,1.0,0.0008806460419363645
0 PO BOX 170342 30317,10.0,0.008806460419363645
0 PO BOX 170348 30317,1.0,0.0008806460419363645
0 PO BOX 170437 30317,1.0,0.0008806460419363645
0 PO BOX 170440 30317,1.0,0.0008806460419363645
0 PO BOX 170461 30317,1.0,0.0008806460419363645
0 PO BOX 170529 30317,1.0,0.0008806460419363645
0 PO BOX 170543 30317,1.0,0.0008806460419363645
0 PO BOX 1709 65616,1.0,0.0008806460419363645
0 PO BOX 1714 30132,1.0,0.0008806460419363645
0 PO BOX 173 2190,1.0,0.0008806460419363645
0 PO BOX 1734 30301,1.0,0.0008806460419363645
0 PO BOX 174 30126,6.0,0.005283876251618187
0 PO BOX 174 31008,1.0,0.0008806460419363645
0 PO BOX 1748 30096,1.0,0.0008806460419363645
0 PO BOX 1757 30024,16.0,0.014090336670981833
0 PO BOX 176 29643,1.0,0.0008806460419363645
0 PO BOX 17628 30316,6.0,0.005283876251618187
0 PO BOX 1764 30213,2.0,0.001761292083872729
0 PO BOX 177 30250,1.0,0.0008806460419363645
0 PO BOX 17704 30316,2.0,0.001761292083872729
0 PO BOX 17772 30316,1.0,0.0008806460419363645
0 PO BOX 1783 30515,1.0,0.0008806460419363645
0 PO BOX 17907 30316,3.0,0.0026419381258090935
0 PO BOX 1794 30012,1.0,0.0008806460419363645
0 PO BOX 1794 30019,7.0,0.006164522293554553
0 PO BOX 1794 77410,3.0,0.0026419381258090935
0 PO BOX 1802 30081,1.0,0.0008806460419363645
0 PO BOX 1804 70791,1.0,0.0008806460419363645
0 PO BOX 1805 30031,2.0,0.001761292083872729
0 PO BOX 1807 30533,2.0,0.001761292083872729
0 PO BOX 18153 30316,2.0,0.001761292083872729
0 PO BOX 182 30281,1.0,0.0008806460419363645
0 PO BOX 1821 28717,1.0,0.0008806460419363645
0 PO BOX 1822 30281,2.0,0.001761292083872729
0 PO BOX 18234 30316,5.0,0.004403230209681822
0 PO BOX 183 30331,1.0,0.0008806460419363645
0 PO BOX 1831 30298,5.0,0.004403230209681822
0 PO BOX 18332 30305,1.0,0.0008806460419363645
0 PO BOX 18338 30316,1.0,0.0008806460419363645
0 PO BOX 1842 30180,1.0,0.0008806460419363645
0 PO BOX 18432 30316,2.0,0.001761292083872729
0 PO BOX 1844 30237,1.0,0.0008806460419363645
0 PO BOX 185 40390,1.0,0.0008806460419363645
0 PO BOX 1851 30061,1.0,0.0008806460419363645
0 PO BOX 18556 31126,2.0,0.001761292083872729
0 PO BOX 18636 31126,1.0,0.0008806460419363645
0 PO BOX 18651 31126,4.0,0.003522584167745458
0 PO BOX 18763 30310,1.0,0.0008806460419363645
0 PO BOX 18827 30354,1.0,0.0008806460419363645
0 PO BOX 1883 91770,2.0,0.001761292083872729
0 PO BOX 1885 30301,2.0,0.001761292083872729
0 PO BOX 18881 31126,1.0,0.0008806460419363645
0 PO BOX 1900 30531,2.0,0.001761292083872729
0 PO BOX 190075 31119,2.0,0.001761292083872729
0 PO BOX 190293 31119,1.0,0.0008806460419363645
0 PO BOX 190496 31119,1.0,0.0008806460419363645
0 PO BOX 190525 31119,2.0,0.001761292083872729
0 PO BOX 190644 31119,1.0,0.0008806460419363645
0 PO BOX 190854 31119,1.0,0.0008806460419363645
0 PO BOX 190909 31119,1.0,0.0008806460419363645
0 PO BOX 190921 31119,1.0,0.0008806460419363645
0 PO BOX 190998 31119,1.0,0.0008806460419363645
0 PO BOX 191136 31119,3.0,0.0026419381258090935
0 PO BOX 1912 30141,1.0,0.0008806460419363645
0 PO BOX 19124 31126,1.0,0.0008806460419363645
0 PO BOX 191334 31119,2.0,0.001761292083872729
0 PO BOX 191346 31119,3.0,0.0026419381258090935
0 PO BOX 19146 31126,5.0,0.004403230209681822
0 PO BOX 19172 31126,1.0,0.0008806460419363645
0 PO BOX 191822 31119,1.0,0.0008806460419363645
0 PO BOX 1927 30077,1.0,0.0008806460419363645
0 PO BOX 1929 30052,8.0,0.007045168335490916
0 PO BOX 194 70541,1.0,0.0008806460419363645
0 PO BOX 1947 28036,1.0,0.0008806460419363645
0 PO BOX 195 30072,2.0,0.001761292083872729
0 PO BOX 19635 30318,1.0,0.0008806460419363645
0 PO BOX 1965 28106,1.0,0.0008806460419363645
0 PO BOX 19662 30325,3.0,0.0026419381258090935
0 PO BOX 19696 30325,54.0,0.04755488626456368
0 PO BOX 19755 30325,1.0,0.0008806460419363645
0 PO BOX 19771 30325,1.0,0.0008806460419363645
0 PO BOX 19836 30325,1.0,0.0008806460419363645
0 PO BOX 19932 30325,1.0,0.0008806460419363645
0 PO BOX 19951 30325,2.0,0.001761292083872729
0 PO BOX 1996 29063,10.0,0.008806460419363645
0 PO BOX 20095 30325,23.0,0.020254858964536382
0 PO BOX 201 30096,1.0,0.0008806460419363645
0 PO BOX 20101 30325,2.0,0.001761292083872729
0 PO BOX 20116 30342,1.0,0.0008806460419363645
0 PO BOX 2013 30515,1.0,0.0008806460419363645
0 PO BOX 20135 30325,1.0,0.0008806460419363645
0 PO BOX 2036 30005,1.0,0.0008806460419363645
0 PO BOX 2036 30023,12.0,0.010567752503236374
0 PO BOX 20373 30325,1.0,0.0008806460419363645
0 PO BOX 20405 30325,1.0,0.0008806460419363645
0 PO BOX 20418 30325,1.0,0.0008806460419363645
0 PO BOX 20465 30325,15.0,0.013209690629045468
0 PO BOX 20490 30325,4.0,0.003522584167745458
0 PO BOX 205 6023,1.0,0.0008806460419363645
0 PO BOX 2053 32110,1.0,0.0008806460419363645
0 PO BOX 2062 30188,5.0,0.004403230209681822
0 PO BOX 2064 30301,1.0,0.0008806460419363645
0 PO BOX 208 10276,1.0,0.0008806460419363645
0 PO BOX 2107 30515,1.0,0.0008806460419363645
0 PO BOX 2110 30126,1.0,0.0008806460419363645
0 PO BOX 211574 91921,3.0,0.0026419381258090935
0 PO BOX 21174 94620,2.0,0.001761292083872729
0 PO BOX 212 11542,1.0,0.0008806460419363645
0 PO BOX 212 30534,1.0,0.0008806460419363645
0 PO BOX 2134 30515,3.0,0.0026419381258090935
0 PO BOX 2171 31328,1.0,0.0008806460419363645
0 PO BOX 218 2331,1.0,0.0008806460419363645
0 PO BOX 2189 28605,1.0,0.0008806460419363645
0 PO BOX 2195 92647,2.0,0.001761292083872729
0 PO BOX 220008 11022,2.0,0.001761292083872729
0 PO BOX 220068 1622,2.0,0.001761292083872729
0 PO BOX 220148 33022,1.0,0.0008806460419363645
0 PO BOX 2209 30031,1.0,0.0008806460419363645
0 PO BOX 22102 77227,2.0,0.001761292083872729
0 PO BOX 222 39826,1.0,0.0008806460419363645
0 PO BOX 22400 33335,1.0,0.0008806460419363645
0 PO BOX 2250605 30325,1.0,0.0008806460419363645
0 PO BOX 2259 30224,2.0,0.001761292083872729
0 PO BOX 2262 30085,1.0,0.0008806460419363645
0 PO BOX 2268 30453,1.0,0.0008806460419363645
0 PO BOX 2283 29802,1.0,0.0008806460419363645
0 PO BOX 2284 30156,2.0,0.001761292083872729
0 PO BOX 229 30046,1.0,0.0008806460419363645
0 PO BOX 2292 30298,1.0,0.0008806460419363645
0 PO BOX 2296 30301,4.0,0.003522584167745458
0 PO BOX 2297 30188,5.0,0.004403230209681822
0 PO BOX 23 95324,2.0,0.001761292083872729
0 PO BOX 23024 31902,2.0,0.001761292083872729
0 PO BOX 2303 30031,2.0,0.001761292083872729
0 PO BOX 230894 99523,1.0,0.0008806460419363645
0 PO BOX 2318 95031,2.0,0.001761292083872729
0 PO BOX 2326 30102,2.0,0.001761292083872729
0 PO BOX 233 30205,1.0,0.0008806460419363645
0 PO BOX 23848 70183,1.0,0.0008806460419363645
0 PO BOX 242 30288,1.0,0.0008806460419363645
0 PO BOX 24200 29616,1.0,0.0008806460419363645
0 PO BOX 2425 30237,1.0,0.0008806460419363645
0 PO BOX 243 21047,1.0,0.0008806460419363645
0 PO BOX 2431 30188,6.0,0.005283876251618187
0 PO BOX 244 30077,1.0,0.0008806460419363645
0 PO BOX 244027 30324,4.0,0.003522584167745458
0 PO BOX 2442 92067,1.0,0.0008806460419363645
0 PO BOX 2451 30133,2.0,0.001761292083872729
0 PO BOX 2461 30031,1.0,0.0008806460419363645
