entity_addr,entity_total_trans_atl_all_yr,pct_entity_total_trans_atl_all_yr
0 PO BOX 161291 30321,2.0,0.005249068290378458
0 PO BOX 1613 30228,3.0,0.007873602435567686
0 PO BOX 161423 30321,1.0,0.002624534145189229
0 PO BOX 161555 30321,1.0,0.002624534145189229
0 PO BOX 161717 30321,1.0,0.002624534145189229
0 PO BOX 16172 30321,1.0,0.002624534145189229
0 PO BOX 16179 32035,1.0,0.002624534145189229
0 PO BOX 161922 30321,1.0,0.002624534145189229
0 PO BOX 162277 30321,1.0,0.002624534145189229
0 PO BOX 162405 30321,2.0,0.005249068290378458
0 PO BOX 1626 39568,3.0,0.007873602435567686
0 PO BOX 162643 30321,4.0,0.010498136580756916
0 PO BOX 162735 30321,1.0,0.002624534145189229
0 PO BOX 1628 30214,1.0,0.002624534145189229
0 PO BOX 162833 30321,1.0,0.002624534145189229
0 PO BOX 162873 30321,1.0,0.002624534145189229
0 PO BOX 16334 30321,1.0,0.002624534145189229
0 PO BOX 1651 30078,2.0,0.005249068290378458
0 PO BOX 1658 30272,1.0,0.002624534145189229
0 PO BOX 16621 30321,1.0,0.002624534145189229
0 PO BOX 16642 33318,2.0,0.005249068290378458
0 PO BOX 16825 30311,1.0,0.002624534145189229
0 PO BOX 16825 30321,4.0,0.010498136580756916
0 PO BOX 169 30028,1.0,0.002624534145189229
0 PO BOX 16906 31416,1.0,0.002624534145189229
0 PO BOX 1693 28012,1.0,0.002624534145189229
0 PO BOX 170146 30317,2.0,0.005249068290378458
0 PO BOX 170322 30317,2.0,0.005249068290378458
0 PO BOX 170331 30317,1.0,0.002624534145189229
0 PO BOX 170341 30317,1.0,0.002624534145189229
0 PO BOX 170342 30317,5.0,0.013122670725946145
0 PO BOX 170348 30317,1.0,0.002624534145189229
0 PO BOX 170437 30317,1.0,0.002624534145189229
0 PO BOX 170440 30317,1.0,0.002624534145189229
0 PO BOX 170461 30317,1.0,0.002624534145189229
0 PO BOX 170529 30317,1.0,0.002624534145189229
0 PO BOX 170543 30317,1.0,0.002624534145189229
0 PO BOX 1709 65616,1.0,0.002624534145189229
0 PO BOX 1714 30132,1.0,0.002624534145189229
0 PO BOX 173 2190,1.0,0.002624534145189229
0 PO BOX 1734 30301,1.0,0.002624534145189229
0 PO BOX 174 30126,6.0,0.015747204871135373
0 PO BOX 174 31008,1.0,0.002624534145189229
0 PO BOX 1748 30096,1.0,0.002624534145189229
0 PO BOX 1757 30024,16.0,0.041992546323027666
0 PO BOX 176 29643,1.0,0.002624534145189229
0 PO BOX 17628 30316,6.0,0.015747204871135373
0 PO BOX 1764 30213,2.0,0.005249068290378458
0 PO BOX 177 30250,1.0,0.002624534145189229
0 PO BOX 17704 30316,2.0,0.005249068290378458
0 PO BOX 17772 30316,1.0,0.002624534145189229
0 PO BOX 1783 30515,1.0,0.002624534145189229
0 PO BOX 17907 30316,3.0,0.007873602435567686
0 PO BOX 1794 30012,1.0,0.002624534145189229
0 PO BOX 1794 30019,7.0,0.018371739016324603
0 PO BOX 1794 77410,3.0,0.007873602435567686
0 PO BOX 1802 30081,1.0,0.002624534145189229
0 PO BOX 1804 70791,1.0,0.002624534145189229
0 PO BOX 1805 30031,2.0,0.005249068290378458
0 PO BOX 1807 30533,2.0,0.005249068290378458
0 PO BOX 18153 30316,2.0,0.005249068290378458
0 PO BOX 182 30281,1.0,0.002624534145189229
0 PO BOX 1821 28717,1.0,0.002624534145189229
0 PO BOX 1822 30281,1.0,0.002624534145189229
0 PO BOX 18234 30316,5.0,0.013122670725946145
0 PO BOX 183 30331,1.0,0.002624534145189229
0 PO BOX 1831 30298,5.0,0.013122670725946145
0 PO BOX 18332 30305,1.0,0.002624534145189229
0 PO BOX 18338 30316,1.0,0.002624534145189229
0 PO BOX 1842 30180,1.0,0.002624534145189229
0 PO BOX 18432 30316,2.0,0.005249068290378458
0 PO BOX 1844 30237,1.0,0.002624534145189229
0 PO BOX 185 40390,1.0,0.002624534145189229
0 PO BOX 1851 30061,1.0,0.002624534145189229
0 PO BOX 18556 31126,2.0,0.005249068290378458
0 PO BOX 18636 31126,1.0,0.002624534145189229
0 PO BOX 18651 31126,4.0,0.010498136580756916
0 PO BOX 18763 30310,1.0,0.002624534145189229
0 PO BOX 18827 30354,1.0,0.002624534145189229
0 PO BOX 1883 91770,1.0,0.002624534145189229
0 PO BOX 1885 30301,2.0,0.005249068290378458
0 PO BOX 18881 31126,1.0,0.002624534145189229
0 PO BOX 1900 30531,2.0,0.005249068290378458
0 PO BOX 190075 31119,2.0,0.005249068290378458
0 PO BOX 190293 31119,1.0,0.002624534145189229
0 PO BOX 190496 31119,1.0,0.002624534145189229
0 PO BOX 190525 31119,2.0,0.005249068290378458
0 PO BOX 190644 31119,1.0,0.002624534145189229
0 PO BOX 190854 31119,1.0,0.002624534145189229
0 PO BOX 190909 31119,1.0,0.002624534145189229
0 PO BOX 190921 31119,1.0,0.002624534145189229
0 PO BOX 190998 31119,1.0,0.002624534145189229
0 PO BOX 191136 31119,3.0,0.007873602435567686
0 PO BOX 1912 30141,1.0,0.002624534145189229
0 PO BOX 19124 31126,1.0,0.002624534145189229
0 PO BOX 191334 31119,2.0,0.005249068290378458
0 PO BOX 191346 31119,3.0,0.007873602435567686
0 PO BOX 19146 31126,5.0,0.013122670725946145
0 PO BOX 19172 31126,1.0,0.002624534145189229
0 PO BOX 191822 31119,1.0,0.002624534145189229
0 PO BOX 1927 30077,1.0,0.002624534145189229
0 PO BOX 1929 30052,8.0,0.020996273161513833
0 PO BOX 194 70541,1.0,0.002624534145189229
0 PO BOX 1947 28036,1.0,0.002624534145189229
0 PO BOX 195 30072,2.0,0.005249068290378458
0 PO BOX 19635 30318,1.0,0.002624534145189229
0 PO BOX 1965 28106,1.0,0.002624534145189229
0 PO BOX 19662 30325,3.0,0.007873602435567686
0 PO BOX 19696 30325,53.0,0.13910030969502912
0 PO BOX 19755 30325,1.0,0.002624534145189229
0 PO BOX 19771 30325,1.0,0.002624534145189229
0 PO BOX 19836 30325,1.0,0.002624534145189229
0 PO BOX 19932 30325,1.0,0.002624534145189229
0 PO BOX 19951 30325,2.0,0.005249068290378458
0 PO BOX 1996 29063,10.0,0.02624534145189229
0 PO BOX 20095 30325,6.0,0.015747204871135373
0 PO BOX 201 30096,1.0,0.002624534145189229
0 PO BOX 20101 30325,2.0,0.005249068290378458
0 PO BOX 20116 30342,1.0,0.002624534145189229
0 PO BOX 2013 30515,1.0,0.002624534145189229
0 PO BOX 20135 30325,1.0,0.002624534145189229
0 PO BOX 2036 30005,1.0,0.002624534145189229
0 PO BOX 2036 30023,9.0,0.02362080730670306
0 PO BOX 20373 30325,1.0,0.002624534145189229
0 PO BOX 20405 30325,1.0,0.002624534145189229
0 PO BOX 20418 30325,1.0,0.002624534145189229
0 PO BOX 20465 30325,9.0,0.02362080730670306
0 PO BOX 20490 30325,4.0,0.010498136580756916
0 PO BOX 205 6023,1.0,0.002624534145189229
0 PO BOX 2053 32110,1.0,0.002624534145189229
0 PO BOX 2062 30188,1.0,0.002624534145189229
0 PO BOX 2064 30301,1.0,0.002624534145189229
0 PO BOX 208 10276,1.0,0.002624534145189229
0 PO BOX 2107 30515,1.0,0.002624534145189229
0 PO BOX 2110 30126,1.0,0.002624534145189229
0 PO BOX 211574 91921,3.0,0.007873602435567686
0 PO BOX 21174 94620,2.0,0.005249068290378458
0 PO BOX 212 11542,1.0,0.002624534145189229
0 PO BOX 212 30534,1.0,0.002624534145189229
0 PO BOX 2134 30515,3.0,0.007873602435567686
0 PO BOX 2171 31328,1.0,0.002624534145189229
0 PO BOX 218 2331,1.0,0.002624534145189229
0 PO BOX 2189 28605,1.0,0.002624534145189229
0 PO BOX 2195 92647,2.0,0.005249068290378458
0 PO BOX 220008 11022,2.0,0.005249068290378458
0 PO BOX 220068 1622,2.0,0.005249068290378458
0 PO BOX 220148 33022,1.0,0.002624534145189229
0 PO BOX 2209 30031,1.0,0.002624534145189229
0 PO BOX 22102 77227,2.0,0.005249068290378458
0 PO BOX 222 39826,1.0,0.002624534145189229
0 PO BOX 22400 33335,1.0,0.002624534145189229
0 PO BOX 2250605 30325,1.0,0.002624534145189229
0 PO BOX 2259 30224,2.0,0.005249068290378458
0 PO BOX 2262 30085,1.0,0.002624534145189229
0 PO BOX 2268 30453,1.0,0.002624534145189229
0 PO BOX 2283 29802,1.0,0.002624534145189229
0 PO BOX 2284 30156,2.0,0.005249068290378458
0 PO BOX 229 30046,1.0,0.002624534145189229
0 PO BOX 2292 30298,1.0,0.002624534145189229
0 PO BOX 2296 30301,3.0,0.007873602435567686
0 PO BOX 2297 30188,5.0,0.013122670725946145
0 PO BOX 23 95324,2.0,0.005249068290378458
0 PO BOX 23024 31902,2.0,0.005249068290378458
0 PO BOX 2303 30031,2.0,0.005249068290378458
0 PO BOX 230894 99523,1.0,0.002624534145189229
0 PO BOX 2318 95031,2.0,0.005249068290378458
0 PO BOX 2326 30102,1.0,0.002624534145189229
0 PO BOX 233 30205,1.0,0.002624534145189229
0 PO BOX 23848 70183,1.0,0.002624534145189229
0 PO BOX 242 30288,1.0,0.002624534145189229
0 PO BOX 24200 29616,1.0,0.002624534145189229
0 PO BOX 2425 30237,1.0,0.002624534145189229
0 PO BOX 243 21047,1.0,0.002624534145189229
0 PO BOX 2431 30188,6.0,0.015747204871135373
0 PO BOX 244 30077,1.0,0.002624534145189229
0 PO BOX 244027 30324,4.0,0.010498136580756916
0 PO BOX 2442 92067,1.0,0.002624534145189229
0 PO BOX 2451 30133,2.0,0.005249068290378458
0 PO BOX 2461 30031,1.0,0.002624534145189229
0 PO BOX 2465 30084,1.0,0.002624534145189229
0 PO BOX 2465 30085,7.0,0.018371739016324603
0 PO BOX 248 30528,1.0,0.002624534145189229
0 PO BOX 2488 30237,1.0,0.002624534145189229
0 PO BOX 250022 30325,1.0,0.002624534145189229
0 PO BOX 250045 30325,1.0,0.002624534145189229
0 PO BOX 250069 30325,1.0,0.002624534145189229
0 PO BOX 2503 30269,1.0,0.002624534145189229
0 PO BOX 250331 30325,1.0,0.002624534145189229
0 PO BOX 250505 30325,3.0,0.007873602435567686
0 PO BOX 250568 30325,2.0,0.005249068290378458
0 PO BOX 250592 30325,1.0,0.002624534145189229
0 PO BOX 2507 30031,22.0,0.05773975119416304
0 PO BOX 2518 30281,1.0,0.002624534145189229
0 PO BOX 2543 90274,1.0,0.002624534145189229
0 PO BOX 25430 97298,1.0,0.002624534145189229
0 PO BOX 255 30086,5.0,0.013122670725946145
0 PO BOX 255 30273,2.0,0.005249068290378458
0 PO BOX 2561 30102,1.0,0.002624534145189229
0 PO BOX 2586 30031,1.0,0.002624534145189229
0 PO BOX 26 30056,1.0,0.002624534145189229
0 PO BOX 2638 30081,2.0,0.005249068290378458
0 PO BOX 2641 30281,1.0,0.002624534145189229
0 PO BOX 2659 30015,1.0,0.002624534145189229
0 PO BOX 2674 30096,1.0,0.002624534145189229
0 PO BOX 268 30291,2.0,0.005249068290378458
0 PO BOX 2733 30085,1.0,0.002624534145189229
0 PO BOX 275 28390,3.0,0.007873602435567686
0 PO BOX 27740 89126,2.0,0.005249068290378458
0 PO BOX 27740 89147,1.0,0.002624534145189229
0 PO BOX 28113 2908,2.0,0.005249068290378458
0 PO BOX 28436 31221,4.0,0.010498136580756916
0 PO BOX 2869 83001,1.0,0.002624534145189229
0 PO BOX 28986 30358,1.0,0.002624534145189229
0 PO BOX 29009 ,3.0,0.007873602435567686
0 PO BOX 29161 30359,1.0,0.002624534145189229
0 PO BOX 2932 22202,1.0,0.002624534145189229
0 PO BOX 2939 97201,1.0,0.002624534145189229
0 PO BOX 2941 30269,5.0,0.013122670725946145
0 PO BOX 29593 30359,2.0,0.005249068290378458
0 PO BOX 298 30179,3.0,0.007873602435567686
0 PO BOX 29831 30359,1.0,0.002624534145189229
0 PO BOX 2984 92352,1.0,0.002624534145189229
0 PO BOX 3003 30253,1.0,0.002624534145189229
0 PO BOX 30444 10303,2.0,0.005249068290378458
0 PO BOX 3055 30052,2.0,0.005249068290378458
0 PO BOX 307 30112,1.0,0.002624534145189229
0 PO BOX 307 31816,1.0,0.002624534145189229
0 PO BOX 309 30272,1.0,0.002624534145189229
0 PO BOX 3099 30096,2.0,0.005249068290378458
0 PO BOX 310 30180,1.0,0.002624534145189229
0 PO BOX 310324 31131,1.0,0.002624534145189229
0 PO BOX 310502 31131,1.0,0.002624534145189229
0 PO BOX 31051 31561,1.0,0.002624534145189229
0 PO BOX 310543 31131,1.0,0.002624534145189229
0 PO BOX 310562 31131,1.0,0.002624534145189229
0 PO BOX 310582 31131,1.0,0.002624534145189229
0 PO BOX 31073 31410,2.0,0.005249068290378458
0 PO BOX 310835 30331,1.0,0.002624534145189229
0 PO BOX 310900 31131,1.0,0.002624534145189229
0 PO BOX 311031 31131,1.0,0.002624534145189229
0 PO BOX 31106,2.0,0.005249068290378458
0 PO BOX 311278 31131,4.0,0.010498136580756916
0 PO BOX 311311 31131,1.0,0.002624534145189229
0 PO BOX 311408 31131,1.0,0.002624534145189229
0 PO BOX 311436 31131,1.0,0.002624534145189229
0 PO BOX 311494 31131,1.0,0.002624534145189229
0 PO BOX 311607 31131,3.0,0.007873602435567686
0 PO BOX 311616 31131,1.0,0.002624534145189229
0 PO BOX 311692 31131,1.0,0.002624534145189229
0 PO BOX 311727 31131,1.0,0.002624534145189229
0 PO BOX 311760 31131,1.0,0.002624534145189229
0 PO BOX 311827 31131,1.0,0.002624534145189229
0 PO BOX 311883 31131,1.0,0.002624534145189229
0 PO BOX 311885 31131,1.0,0.002624534145189229
0 PO BOX 312 30024,1.0,0.002624534145189229
0 PO BOX 312086 31131,1.0,0.002624534145189229
0 PO BOX 31210 31561,2.0,0.005249068290378458
0 PO BOX 312116 31131,1.0,0.002624534145189229
0 PO BOX 3132 30030,1.0,0.002624534145189229
0 PO BOX 3146 31401,1.0,0.002624534145189229
0 PO BOX 3150 30031,3.0,0.007873602435567686
0 PO BOX 316 30072,1.0,0.002624534145189229
0 PO BOX 3169 30032,1.0,0.002624534145189229
0 PO BOX 318 30101,2.0,0.005249068290378458
0 PO BOX 3192 30028,1.0,0.002624534145189229
0 PO BOX 32 30177,1.0,0.002624534145189229
0 PO BOX 3204 30302,1.0,0.002624534145189229
0 PO BOX 3206 30023,1.0,0.002624534145189229
0 PO BOX 3248 30120,1.0,0.002624534145189229
0 PO BOX 327 94064,1.0,0.002624534145189229
0 PO BOX 3305 30302,1.0,0.002624534145189229
0 PO BOX 330538 32233,4.0,0.010498136580756916
0 PO BOX 33093 33093,1.0,0.002624534145189229
0 PO BOX 331 30074,1.0,0.002624534145189229
0 PO BOX 33211 30033,1.0,0.002624534145189229
0 PO BOX 333 30639,1.0,0.002624534145189229
0 PO BOX 335 30017,3.0,0.007873602435567686
0 PO BOX 3402 30028,1.0,0.002624534145189229
0 PO BOX 340485 33694,1.0,0.002624534145189229
0 PO BOX 3408 29928,4.0,0.010498136580756916
0 PO BOX 343 30031,5.0,0.013122670725946145
0 PO BOX 3484 33469,1.0,0.002624534145189229
0 PO BOX 3512 30024,3.0,0.007873602435567686
0 PO BOX 3523 33469,1.0,0.002624534145189229
0 PO BOX 3524 30052,3.0,0.007873602435567686
0 PO BOX 352400 90035,6.0,0.015747204871135373
0 PO BOX 358 39886,1.0,0.002624534145189229
0 PO BOX 360011 30036,1.0,0.002624534145189229
0 PO BOX 360361 30036,1.0,0.002624534145189229
0 PO BOX 361026 30036,1.0,0.002624534145189229
0 PO BOX 361351 30036,1.0,0.002624534145189229
0 PO BOX 361638 30036,2.0,0.005249068290378458
0 PO BOX 363 30125,1.0,0.002624534145189229
0 PO BOX 363 30703,1.0,0.002624534145189229
0 PO BOX 366015 30036,1.0,0.002624534145189229
0 PO BOX 366015 30336,1.0,0.002624534145189229
0 PO BOX 366204 30336,1.0,0.002624534145189229
0 PO BOX 366503 30336,1.0,0.002624534145189229
0 PO BOX 366512 30336,20.0,0.05249068290378458
0 PO BOX 36655 75235,1.0,0.002624534145189229
0 PO BOX 370041 30037,4.0,0.010498136580756916
0 PO BOX 370064 30037,1.0,0.002624534145189229
0 PO BOX 371 12513,1.0,0.002624534145189229
0 PO BOX 371202 30037,1.0,0.002624534145189229
0 PO BOX 371405 30037,1.0,0.002624534145189229
0 PO BOX 37152 45222,1.0,0.002624534145189229
0 PO BOX 3721 30357,1.0,0.002624534145189229
0 PO BOX 372760 30037,1.0,0.002624534145189229
0 PO BOX 373 30024,1.0,0.002624534145189229
0 PO BOX 373233 30037,1.0,0.002624534145189229
0 PO BOX 3788 47736,1.0,0.002624534145189229
0 PO BOX 38 31004,1.0,0.002624534145189229
0 PO BOX 382 50402,6.0,0.015747204871135373
0 PO BOX 386 30133,2.0,0.005249068290378458
0 PO BOX 3887 30024,3.0,0.007873602435567686
0 PO BOX 389 30647,1.0,0.002624534145189229
0 PO BOX 39 30030,1.0,0.002624534145189229
0 PO BOX 390 30055,1.0,0.002624534145189229
0 PO BOX 390252 30039,1.0,0.002624534145189229
0 PO BOX 391193 30039,2.0,0.005249068290378458
0 PO BOX 3944 30031,2.0,0.005249068290378458
0 PO BOX 3948 31706,1.0,0.002624534145189229
0 PO BOX 396 30290,2.0,0.005249068290378458
0 PO BOX 40002 30302,1.0,0.002624534145189229
0 PO BOX 4013 7012,5.0,0.013122670725946145
0 PO BOX 4035 30023,1.0,0.002624534145189229
0 PO BOX 4074 30302,2.0,0.005249068290378458
0 PO BOX 4090 85261,22.0,0.05773975119416304
0 PO BOX 41 30085,1.0,0.002624534145189229
0 PO BOX 411 28773,1.0,0.002624534145189229
0 PO BOX 414 30122,1.0,0.002624534145189229
0 PO BOX 418 28741,1.0,0.002624534145189229
0 PO BOX 42 30091,1.0,0.002624534145189229
0 PO BOX 420 30342,1.0,0.002624534145189229
0 PO BOX 420068 30342,1.0,0.002624534145189229
0 PO BOX 420121 30342,3.0,0.007873602435567686
0 PO BOX 420195 30342,2.0,0.005249068290378458
0 PO BOX 420202 30342,7.0,0.018371739016324603
0 PO BOX 420246 30342,7.0,0.018371739016324603
0 PO BOX 420253 30342,2.0,0.005249068290378458
0 PO BOX 420488 30342,10.0,0.02624534145189229
0 PO BOX 420588 30342,1.0,0.002624534145189229
0 PO BOX 420631 30342,1.0,0.002624534145189229
0 PO BOX 42085 30311,1.0,0.002624534145189229
0 PO BOX 420889 30342,1.0,0.002624534145189229
0 PO BOX 421054 30342,8.0,0.020996273161513833
0 PO BOX 421158 30342,1.0,0.002624534145189229
0 PO BOX 421515 30342,2.0,0.005249068290378458
0 PO BOX 421577 30342,1.0,0.002624534145189229
0 PO BOX 42195 30311,1.0,0.002624534145189229
0 PO BOX 422071 30342,1.0,0.002624534145189229
0 PO BOX 422149 30342,1.0,0.002624534145189229
0 PO BOX 422238 30327,1.0,0.002624534145189229
